"id","nome_interno","nome_paciente","modalidade","regiao","contraste","lado","detalhe","convenio","exibir","revisar"
"1","ATO DE COLETA DE PAAF ORG. E ESTRUT. | BIOPSIA PAAF","Biópsia / Punção","BIOPSIA","","","","PAAF (agulha fina)","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ATO DE COLETA DE PAAF ORG. E ESTRUT.; BIOPSIA PAAF"
"2","BIOPSIA PAAF 1 NODULO","Biópsia / Punção","BIOPSIA","","","","1 nódulo, PAAF (agulha fina)","","SIM",""
"3","BIOPSIA PAAF 2 NODULOS","Biópsia / Punção","BIOPSIA","","","","2 nódulos, PAAF (agulha fina)","","SIM",""
"4","BIOPSIA PAAF 3 NODULOS","Biópsia / Punção","BIOPSIA","","","","3 nódulos, PAAF (agulha fina)","","SIM",""
"5","BIOPSIA | BIOPSIA DE RIM/ FIGADO + TX SALA 4H","Biópsia / Punção","BIOPSIA","","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: BIOPSIA; BIOPSIA DE RIM/ FIGADO + TX SALA 4H"
"6","CORE BIOPSY 1 NODULO (PACOTE)","Biópsia / Punção","BIOPSIA","","","","1 nódulo, core biopsy","","SIM",""
"7","CORE BIOPSY 2 NODULOS","Biópsia / Punção","BIOPSIA","","","","2 nódulos, core biopsy","","SIM",""
"8","CORE BIOPSY 3 NODULOS","Biópsia / Punção","BIOPSIA","","","","3 nódulos, core biopsy","","SIM",""
"9","PUNCAO ASP. ORIENTADA POR TC (ACRESCENTAR EXAME DE BASE)","Biópsia / Punção","BIOPSIA","","","","guiada por tomografia","","SIM",""
"10","PUNCAO ASPITATIVA ORIENTADA POR ECO","Biópsia / Punção","BIOPSIA","","","","guiada por ultrassom","","SIM",""
"11","CORE BIOPSY (ACRESCENTAR US MAMAS)","Biópsia / Punção de Mamas","BIOPSIA","Mamas","","","core biopsy","","SIM",""
"12","CORE BIOPSY 1 NODULO (ACRESCENTAR US MAMAS)","Biópsia / Punção de Mamas","BIOPSIA","Mamas","","","1 nódulo, core biopsy","","SIM",""
"13","PUNCAO ASP. MAMA GUIADA POR US (ACRESCENTAR EX. DE BASE)","Biópsia / Punção de Mamas","BIOPSIA","Mamas","","","guiada por ultrassom","","SIM",""
"14","PUNCAO DE MAMA (NÃO ACRESCENTAR ECOGRAFIA) | PUNCAO OU BIOPSIA MAMARIA (ACRESCENTAR ECO)","Biópsia / Punção de Mamas","BIOPSIA","Mamas","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: PUNCAO DE MAMA (NÃO ACRESCENTAR ECOGRAFIA); PUNCAO OU BIOPSIA MAMARIA (ACRESCENTAR ECO)"
"15","PUNCAO OU BIOPSIA MAMA-UNIMED","Biópsia / Punção de Mamas","BIOPSIA","Mamas","","","","UNIMED","SIM",""
"16","PUNCAO OU BIOPSIA MAMARIA PERICUTANEA POR AGULHA FINA","Biópsia / Punção de Mamas","BIOPSIA","Mamas","","","PAAF (agulha fina)","","SIM",""
"17","BIOPSIA PROST TRANSPERINEAL + TAXA SALA","Biópsia / Punção de Períneo","BIOPSIA","Períneo","","","transperineal","","SIM",""
"18","BIOPSIA DE PROSTATA POR FUSÃO","Biópsia / Punção de Próstata","BIOPSIA","Próstata","","","por fusão","","SIM",""
"19","PROSTATA TRANSRETAL COM BIOPSIA | PROSTATA TRANSRETAL COM BIOPSIA ATE 8 FRAG | PROSTATA TRANSRETAL COM BIOPSIA + 8 FRAG","Biópsia / Punção de Próstata","BIOPSIA","Próstata","","","transretal","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: PROSTATA TRANSRETAL COM BIOPSIA; PROSTATA TRANSRETAL COM BIOPSIA ATE 8 FRAG; PROSTATA TRANSRETAL COM BIOPSIA + 8 FRAG"
"20","PUNCAO DE PROSTATA (ACRESCENTAR ECOGRAFIA) | BIOPSIA DE PROSTATA + TAXA SALA | BIOPSIA PROSTATA","Biópsia / Punção de Próstata","BIOPSIA","Próstata","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: PUNCAO DE PROSTATA (ACRESCENTAR ECOGRAFIA); BIOPSIA DE PROSTATA + TAXA SALA; BIOPSIA PROSTATA"
"21","PUNCAO DE TIREOIDE (ACRESCENTAR ECOGRAFIA)","Biópsia / Punção de Tireoide","BIOPSIA","Tireoide","","","","","SIM",""
"22","PUNCAO OU BIOPSIA TIREOIDE UNIMED","Biópsia / Punção de Tireoide","BIOPSIA","Tireoide","","","","UNIMED","SIM",""
"23","BIOPSIA DE TORAX","Biópsia / Punção de Tórax","BIOPSIA","Tórax","","","","","SIM",""
"24","PUNCAO DE TORAX REALIZADA POR TC","Biópsia / Punção de Tórax","BIOPSIA","Tórax","","","guiada por tomografia","","SIM",""
"25","PUNÇAO ASP.ORGAO OU ESTRUTURA P/US (INCLUIR US) | PUNÇÃO ASP. ORGAOS OU ESTRUTURA P/US - INCLUIR EX. BASE","Biópsia / Punção de Vasos / Órgãos","BIOPSIA","Vasos / Órgãos","","","guiada por ultrassom","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: PUNÇAO ASP.ORGAO OU ESTRUTURA P/US (INCLUIR US); PUNÇÃO ASP. ORGAOS OU ESTRUTURA P/US - INCLUIR EX. BASE"
"26","DENSITOMETRIA OSSEA 1 SEG","Densitometria Óssea","DENSITOMETRIA","","","","1 segmento","","SIM",""
"27","DENSITOMETRIA OSSEA 2 SEG","Densitometria Óssea","DENSITOMETRIA","","","","2 segmentos","","SIM",""
