"termo","canonico","tipo"
"ressonancia","RM","MODALIDADE"
"ressonancia magnetica","RM","MODALIDADE"
"rm","RM","MODALIDADE"
"rnm","RM","MODALIDADE"
"angiorressonancia","Angio-RM","MODALIDADE"
"angio rm","Angio-RM","MODALIDADE"
"tomografia","TC","MODALIDADE"
"tomografia computadorizada","TC","MODALIDADE"
"tomo","TC","MODALIDADE"
"tc","TC","MODALIDADE"
"tac","TC","MODALIDADE"
"angiotomografia","Angio-TC","MODALIDADE"
"angiotomo","Angio-TC","MODALIDADE"
"angio tc","Angio-TC","MODALIDADE"
"ecografia","ECO","MODALIDADE"
"ultrassom","ECO","MODALIDADE"
"ultrassonografia","ECO","MODALIDADE"
"ultrasom","ECO","MODALIDADE"
"us","ECO","MODALIDADE"
"usg","ECO","MODALIDADE"
"eco","ECO","MODALIDADE"
"doppler","ECO Doppler","MODALIDADE"
"ecodoppler","ECO Doppler","MODALIDADE"
"ecocardiograma","Ecocardiograma","MODALIDADE"
"ecocardio","Ecocardiograma","MODALIDADE"
"raio x","RX","MODALIDADE"
"raio-x","RX","MODALIDADE"
"raios x","RX","MODALIDADE"
"radiografia","RX","MODALIDADE"
"rx","RX","MODALIDADE"
"mamografia","Mamografia","MODALIDADE"
"mamo","Mamografia","MODALIDADE"
"densitometria","Densitometria Óssea","MODALIDADE"
"densitometria ossea","Densitometria Óssea","MODALIDADE"
"biopsia","Biópsia / Punção","MODALIDADE"
"puncao","Biópsia / Punção","MODALIDADE"
"paf","Biópsia / Punção","MODALIDADE"
"paaf","Biópsia / Punção","MODALIDADE"
"agulha fina","Biópsia / Punção","MODALIDADE"
"core biopsy","Biópsia / Punção","MODALIDADE"
"encefalo","Crânio","REGIAO"
"cerebro","Crânio","REGIAO"
"cabeca","Crânio","REGIAO"
"lombar","Coluna Lombar","REGIAO"
"lombossacra","Coluna Lombar","REGIAO"
"cervical","Coluna Cervical","REGIAO"
"dorsal","Coluna Torácica","REGIAO"
"coxofemoral","Quadril","REGIAO"
"seios da face","Face / Seios da Face","REGIAO"
"sinusite","Face / Seios da Face","REGIAO"
"barriga","Abdome","REGIAO"
"abdomen","Abdome","REGIAO"
"abdome","Abdome","REGIAO"
"rim","Aparelho Urinário (Rins)","REGIAO"
"rins","Aparelho Urinário (Rins)","REGIAO"
"vias urinarias","Aparelho Urinário (Rins)","REGIAO"
"seio","Mamas","REGIAO"
"mama","Mamas","REGIAO"
"tiroide","Tireoide","REGIAO"
"gestacao","Obstétrica (Gestação)","REGIAO"
"gravidez","Obstétrica (Gestação)","REGIAO"
"obstetrico","Obstétrica (Gestação)","REGIAO"
"bebe","Obstétrica (Gestação)","REGIAO"
"testiculo","Bolsa Escrotal (Testículos)","REGIAO"
"mandibula","ATM (Mandíbula)","REGIAO"
"atm","ATM (Mandíbula)","REGIAO"
"ouvido","Ouvidos (Ossos Temporais)","REGIAO"
"mastoide","Ouvidos (Ossos Temporais)","REGIAO"
"figado","Fígado","REGIAO"
"panturrilha","Perna","REGIAO"
"coracao","Coração","REGIAO"
"cardiaco","Coração","REGIAO"
